year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2002,Colorado,8,196,4490406,4.4,4.2,0.3,West,CO,Mountain
2002,Connecticut,9,172,3458749,5,5,0.4,Northeast,CT,New England
2002,Delaware,10,48,806169,6,6,0.9,South,DE,South Atlantic
2002,District of Columbia,11,29,573158,5.1,5.2,1,South,DC,NA
2002,Florida,12,959,16689370,5.7,5.9,0.2,South,FL,South Atlantic
2002,Georgia,13,215,8508256,2.5,2.5,0.2,South,GA,South Atlantic
2002,Hawaii,15,46,1239613,3.7,3.7,0.5,West,HI,Pacific
2002,Idaho,16,45,1340372,3.4,3.5,0.5,West,ID,Mountain
2002,Illinois,17,569,12525556,4.5,4.6,0.2,Midwest,IL,East North Central
2002,Indiana,18,63,6155967,1,1,0.1,Midwest,IN,East North Central
2002,Iowa,19,37,2934234,1.3,1.3,0.2,Midwest,IA,West North Central
2002,Kansas,20,80,2713535,2.9,3,0.3,Midwest,KS,West North Central
2002,Kentucky,21,177,4089875,4.3,4.4,0.3,South,KY,East South Central
2002,Louisiana,22,95,4497267,2.1,2.1,0.2,South,LA,West South Central
2002,Maine,23,91,1295960,7,7.3,0.8,Northeast,ME,New England
2002,Maryland,24,543,5440389,10,9.7,0.4,South,MD,South Atlantic
2002,Massachusetts,25,484,6417206,7.5,7.4,0.3,Northeast,MA,New England
2002,Michigan,26,227,10015710,2.3,2.3,0.2,Midwest,MI,East North Central
2002,Minnesota,27,95,5018935,1.9,1.9,0.2,Midwest,MN,West North Central
2002,Mississippi,28,26,2858681,0.9,0.9,0.2,South,MS,East South Central
2002,Missouri,29,189,5674825,3.3,3.4,0.2,Midwest,MO,West North Central
2002,Montana,30,20,911667,2.2,2.2,0.5,West,MT,Mountain
2002,Nebraska,31,25,1728292,1.4,1.5,0.3,Midwest,NE,West North Central
2002,Nevada,32,220,2173791,10.1,10,0.7,West,NV,Mountain
2002,New Hampshire,33,80,1269089,6.3,6.3,0.7,Northeast,NH,New England
2002,New Jersey,34,486,8552643,5.7,5.6,0.3,Northeast,NJ,Middle Atlantic
2002,New Mexico,35,196,1855309,10.6,11.1,0.8,West,NM,Mountain
2002,New York,36,555,19137800,2.9,2.9,0.1,Northeast,NY,Middle Atlantic
2002,North Carolina,37,407,8326201,4.9,4.9,0.2,South,NC,South Atlantic
2002,North Dakota,38,14,638168,NA,NA,0.6,Midwest,ND,West North Central
2002,Ohio,39,421,11407889,3.7,3.7,0.2,Midwest,OH,East North Central
2002,Oklahoma,40,146,3489080,4.2,4.3,0.4,South,OK,West South Central
2002,Oregon,41,193,3513424,5.5,5.4,0.4,West,OR,Pacific
2002,Pennsylvania,42,345,12331031,2.8,2.9,0.2,Northeast,PA,Middle Atlantic
2002,Rhode Island,44,72,1065995,6.8,6.8,0.8,Northeast,RI,New England
2002,South Carolina,45,81,4107795,2,2,0.2,South,SC,South Atlantic
2002,South Dakota,46,12,760020,NA,NA,0.5,Midwest,SD,West North Central
2002,Tennessee,47,167,5795918,2.9,2.9,0.2,South,TN,East South Central
2002,Texas,48,739,21690325,3.4,3.4,0.1,South,TX,West South Central
2002,Utah,49,203,2324815,8.7,9.7,0.7,West,UT,Mountain
2002,Vermont,50,36,615442,5.8,5.8,1,Northeast,VT,New England
2002,Virginia,51,352,7286873,4.8,4.7,0.2,South,VA,South Atlantic
2002,Washington,53,455,6052349,7.5,7.4,0.3,West,WA,Pacific
2002,West Virginia,54,178,1805414,9.9,10.1,0.8,South,WV,South Atlantic
2002,Wisconsin,55,173,5445162,3.2,3.2,0.2,Midwest,WI,East North Central
2002,Wyoming,56,17,500017,NA,NA,0.8,West,WY,Mountain
2003,Alabama,1,49,4503491,1.1,1.1,0.2,South,AL,East South Central
2003,Alaska,2,11,648414,NA,NA,0.5,West,AK,Pacific
2003,Arizona,4,340,5510364,6.2,6.4,0.4,West,AZ,Mountain
2003,Arkansas,5,89,2724816,3.3,3.4,0.4,South,AR,West South Central
2003,California,6,1398,35253159,4,4,0.1,West,CA,Pacific
2003,Colorado,8,213,4528732,4.7,4.5,0.3,West,CO,Mountain
2003,Connecticut,9,167,3484336,4.8,4.9,0.4,Northeast,CT,New England
2003,Delaware,10,37,818003,4.5,4.5,0.7,South,DE,South Atlantic
